Diagnosis,Number,
25033,1,"25033 = ""25033: DIAB COMA NEC TYPE I DM UNCONT (Begin 1993)"""
25032,1,"25032 = ""25032: DIAB COMA NEC TYP II DM UNCONT (Begin 1993)"""
85223,1,#N/A
85224,1,#N/A
85229,1,#N/A
46411,1,"46411 = ""46411: AC TRACHEITIS W OBSTRUCT"""
64403,1,"64403 = ""64403: THRT PREM LABOR-ANTEPART"""
2581,1,"2581  = ""2581 : COMB ENDOCR DYSFUNCT NEC"""
74358,1,"74358 = ""74358: VASCULAR ANOM POST EYE"""
80072,1,"80072 = ""80072: OPN SKUL VLT FX-BRF COMA"""
74355,1,"74355 = ""74355: CONG MACULAR CHANGE-EYE"""
V848,1,#N/A
9229,1,#N/A
9596,1,#N/A
33111,1,"33111 = ""33111: PICKS DISEASE"""
9042,1,"09042 = ""09042: CONGEN SYPH MENINGITIS"""
71858,1,"71858 = ""71858: ANKYLOSIS-JOINT NEC"""
37850,1,"37850 = ""37850: PARALYTIC STRABISMUS NOS"""
20202,1,"20202 = ""20202: NODULAR LYMPHOMA THORAX"""
5764,1,"5764  = ""5764 : FISTULA OF BILE DUCT"""
E9398,1,#N/A
E8100,1,#N/A
35720,1,#N/A
77189,1,"77189 = ""77189: OT INFECTIONS SPEC TO PERINATAL PERIOD (Begin 2002)"""
92232,1,#N/A
43381,1,"43381 = ""43381: PRECEREB OCCLUSION NEC W/ INFARCT (Begin 1993)"""
43380,1,"43380 = ""43380: PRECEREB OCCLUS NEC W/O INFARCT (Begin 1993)"""
2350,1,"2350  = ""2350 : UNC BEHAV NEO SALIVARY"""
2355,1,"2355  = ""2355 : UNC BEHAV NEO GI NEC"""
3732,1,"3732  = ""3732 : CHALAZION"""
53110,1,"53110 = ""53110: AC STOMACH ULCER W PERF"""
4801,1,"4801  = ""4801 : RESP SYNCYT VIRAL PNEUM"""
9696,1,#N/A
9690,1,#N/A
87323,1,#N/A
80332,1,"80332 = ""80332: CL SKULL FX NEC-BRF COMA"""
80334,1,"80334 = ""80334: CL SKL FX NEC-PROLN COMA"""
9460,1,#N/A
E8709,1,#N/A
1537,1,"1537  = ""1537 : MAL NEO SPLENIC FLEXURE"""
1535,1,"1535  = ""1535 : MALIGNANT NEO APPENDIX"""
1532,1,"1532  = ""1532 : MAL NEO DESCEND COLON"""
47380,1,#N/A
4100,1,"04100 = ""04100: STREPTOCOCCUS UNSPEC (Begin 1992)"""
37110,1,"37110 = ""37110: CORNEAL DEPOSIT NOS"""
73345,1,"73345 = ""73345: ASEPTIC NECROSIS OF JAW (Begin 2007)"""
391,1,"0391  = ""0391 : PULMONARY ACTINOMYCOSIS"""
399,1,"0399  = ""0399 : ACTINOMYCOSIS NOS"""
6984,1,"6984  = ""6984 : DERMATITIS FACTITIA"""
85209,1,#N/A
85204,1,#N/A
85205,1,#N/A
2651,1,"2651  = ""2651 : THIAMINE DEFIC NEC/NOS"""
7386,1,"7386  = ""7386 : ACQ PELVIC DEFORMITY"""
V5411,1,#N/A
V5410,1,#N/A
V5417,1,#N/A
V5415,1,#N/A
9067,1,#N/A
9069,1,#N/A
42841,1,"42841 = ""42841: ACUTE CMBINED SYST & DIAS HEART FAILR (Begin 2002)"""
3562,1,"3562  = ""3562 : HERED SENSORY NEUROPATHY"""
75026,1,"75026 = ""75026: MOUTH ANOMALY NEC"""
3564,1,"3564  = ""3564 : IDIO PROG POLYNEUROPATHY"""
20402,1,"20402 = ""20402: ACT LYMP LEUK IN RELAPSE (Begin 2008)"""
E9452,1,#N/A
4489,1,"4489  = ""4489 : CAPILLARY DIS NEC/NOS"""
2909,1,"2909  = ""2909 : SENILE PSYCHOT COND NOS"""
700,1,"0700  = ""0700 : HEPATITIS A WITH COMA"""
E8139,1,#N/A
20194,1,"20194 = ""20194: HODGKINS DIS NOS AXILLA"""
20192,1,"20192 = ""20192: HODGKINS DIS NOS THORAX"""
1630,1,"01630 = ""01630: TB URINARY NEC-UNSPEC"""
3154,1,"3154  = ""3154 : COORDINATION DISORDER"""
3212,1,"3212  = ""3212 : MENING IN OTH VIRAL DIS"""
92210,1,#N/A
4650,1,"4650  = ""4650 : ACUTE LARYNGOPHARYNGITIS"""
80620,1,#N/A
569,1,"0569  = ""0569 : RUBELLA UNCOMPLICATED"""
2331,1,"2331  = ""2331 : CA IN SITU CERVIX UTERI"""
93,1,"0093  = ""0093 : DIARRHEA OF INFECT ORIG"""
57142,1,"57142 = ""57142: AUTOIMMUNE HEPATITIS (Begin 2008)"""
60020,1,"60020 = ""60020: BENIGN LOCALIZED HYPERPLASIA OF PROSTATE WITH (Begin 2003)"""
80135,1,"80135 = ""80135: CL SKL BASE FX-DEEP COMA"""
80134,1,"80134 = ""80134: CL SKL BASE FX-PROL COMA"""
85411,1,#N/A
80133,1,"80133 = ""80133: CL SKUL BASE FX-MOD COMA"""
7950,1,"07950 = ""07950: UNSPEC RETROVIRUS (Begin 1993)"""
20502,1,"20502 = ""20502: ACT MYEL LEUK IN RELAPSE (Begin 2008)"""
7246,1,"7246  = ""7246 : DISORDERS OF SACRUM"""
80350,1,"80350 = ""80350: OPEN SKULL FRACTURE NEC"""
53531,1,"53531 = ""53531: ALCHL GSTRITIS W HMRHG (Begin 1991)"""
99684,1,#N/A
99687,1,#N/A
99686,1,#N/A
99683,1,#N/A
37333,1,"37333 = ""37333: XERODERMA OF EYELID"""
8744,1,#N/A
30302,1,"30302 = ""30302: AC ALCOHOL INTOX-EPISOD"""
938,1,#N/A
37155,1,"37155 = ""37155: MACULAR CORNEA DYSTROPHY"""
83102,1,#N/A
931,1,"0931  = ""0931 : SYPHILITIC AORTITIS"""
58500,1,#N/A
38081,1,"38081 = ""38081: EXOSTOSIS EXT EAR CANAL"""
1515,1,"01515 = ""01515: TB OF HIP-HISTO DX"""
34681,1,"34681 = ""34681: MIGR NEC-INTRACT (Begin 1992)"""
E9056,1,#N/A
E9051,1,#N/A
43881,1,"43881 = ""43881: OT LATE EFF CVD APRAXIA (Begin 1997)"""
846,1,"00846 = ""00846: OTHER ANAEROBES (Begin 1992)"""
64663,1,"64663 = ""64663: GU INFECTION-ANTEPARTUM"""
49,1,"0049  = ""0049 : SHIGELLOSIS NOS"""
267,1,"267   = ""267  : ASCORBIC ACID DEFICIENCY"""
88019,1,#N/A
52479,1,"52479 = ""52479: ALVEOLAR ANOMALY NEC (Begin 1992)"""
52473,1,"52473 = ""52473: ALVEOLAR MAXIL HYPO (Begin 1992)"""
986,1,"0986  = ""0986 : GONOCOCCAL INFEC PHARYNX"""
36855,1,"36855 = ""36855: ACQ COLOR DEFICIENCY"""
E8870,1,#N/A
80446,1,#N/A
9081,1,#N/A
58081,1,"58081 = ""58081: AC NEPHRITIS IN OTH DIS"""
94147,1,#N/A
36265,1,"36265 = ""36265: SECONDRY PIGMENT DEGEN"""
38533,1,"38533 = ""38533: CHOLESTMA MID EAR/MSTOID"""
3500,1,#N/A
38658,1,"38658 = ""38658: LABYRINTHINE DYSFUNC NEC"""
38650,1,"38650 = ""38650: LABYRINTHINE DYSFUNC NOS"""
37815,1,"37815 = ""37815: ALTERNATING EXOTROPIA"""
81210,1,#N/A
29790,1,#N/A
1364,1,"01364 = ""01364: TB ENCEPHALITIS-CULT DX"""
7469,1,"7469  = ""7469 : CONG HEART ANOMALY NOS"""
7463,1,"7463  = ""7463 : CONG AORTA VALV STENOSIS"""
7461,1,"7461  = ""7461 : CONG TRICUSP ATRES/STEN"""
7467,1,"7467  = ""7467 : HYPOPLAS LEFT HEART SYND"""
546,1,"0546  = ""0546 : HERPETIC WHITLOW"""
2319,1,"2319  = ""2319 : CA IN SITU RESP SYS NOS"""
2310,1,"2310  = ""2310 : CA IN SITU LARYNX"""
74354,1,"74354 = ""74354: CONG FOLD/CYST POST EYE"""
94339,1,#N/A
7888,1,"07888 = ""07888: OTH SPEC DISEASE DUE TO CHLAMYDIAE (Begin 1993)"""
101,1,"101   = ""101  : VINCENT-S ANGINA"""
36335,1,"36335 = ""36335: DISSEMINATED RETINA SCAR"""
80119,1,"80119 = ""80119: CL SKULL BASE FX-CONCUSS"""
80113,1,"80113 = ""80113: CL SKUL BASE FX-MOD COMA"""
80114,1,"80114 = ""80114: CL SKL BASE FX-PROL COMA"""
20521,1,"20521 = ""20521: SBAC MYL LEUK W RMSION (Begin 1991)"""
V119,1,#N/A
80376,1,#N/A
80375,1,#N/A
80374,1,#N/A
7262,1,"7262  = ""7262 : SHOULDER REGION DIS NEC"""
V149,1,#N/A
6209,1,"6209  = ""6209 : NONINFL DIS OVA/ADNX NOS"""
6808,1,"6808  = ""6808 : CARBUNCLE- SITE NEC"""
6809,1,"6809  = ""6809 : CARBUNCLE NOS"""
6806,1,"6806  = ""6806 : CARBUNCLE OF LEG"""
6804,1,"6804  = ""6804 : CARBUNCLE OF HAND"""
6805,1,"6805  = ""6805 : CARBUNCLE OF BUTTOCK"""
6802,1,"6802  = ""6802 : CARBUNCLE OF TRUNK"""
78442,1,"78442 = ""78442: Dysphonia (Begin 2009)"""
7678,1,"7678  = ""7678 : BIRTH TRAUMA NEC"""
7676,1,"7676  = ""7676 : BRACH PLEXUS INJ-BIRTH"""
7675,1,"7675  = ""7675 : FACIAL NERVE INJ-BIRTH"""
9593,1,#N/A
29580,1,"29580 = ""29580: SCHIZOPHRENIA NEC-UNSPEC"""
7988,1,"07988 = ""07988: OTH SPEC CHLAMYDIAL INFECTION (Begin 1993)"""
1578,1,"1578  = ""1578 : MALIG NEO PANCREAS NEC"""
8760,1,#N/A
72211,1,"72211 = ""72211: THORACIC DISC DISPLACMNT"""
5998,1,"5998  = ""5998 : URINARY TRACT DIS NEC (Begin 1980"
82450,1,#N/A
46120,1,#N/A
99982,1,#N/A
80580,1,#N/A
51850,1,#N/A
57401,1,"57401 = ""57401: CHOLELITH/AC GB INF-OBST"""
9243,1,#N/A
9244,1,#N/A
9530,1,#N/A
E8850,1,#N/A
68,1,"0068  = ""0068 : AMEBIC INFECTION NEC"""
3520,1,"3520  = ""3520 : OLFACTORY NERVE DISORDER"""
V424,1,#N/A
71526,1,"71526 = ""71526: LOC 2ND OSTEOARTHR-L/LEG"""
71527,1,"71527 = ""71527: LOC 2ND OSTEOARTHR-ANKLE"""
71525,1,"71525 = ""71525: LOC 2ND OSTEOARTH-PELVIS"""
71836,1,"71836 = ""71836: RECUR DISLOCAT-L/LEG"""
38633,1,"38633 = ""38633: SUPPURATIV LABYRINTHITIS"""
20260,1,"20260 = ""20260: MAL MASTOCYTOSIS UNSPEC"""
79389,1,"79389 = ""79389: ABN FINDINGS RADIOLOG EXAM BREAST (Begin 2001)"""
1143,1,"01143 = ""01143: TB LUNG FIBROS-MICRO DX"""
1145,1,"01145 = ""01145: TB LUNG FIBROS-HISTO DX"""
59000,1,"59000 = ""59000: CHR PYELONEPHRITIS NOS"""
4533,1,"4533  = ""4533 : RENAL VEIN THROMBOSIS"""
74920,1,"74920 = ""74920: CLEFT PALATE & LIP NOS"""
81510,1,#N/A
81511,1,#N/A
81512,1,#N/A
94310,1,#N/A
2199,1,"2199  = ""2199 : BENIGN NEO UTERUS NOS"""
20891,1,"20891 = ""20891: LEUKEMIA NOS W REMISSION (Begin 1991)"""
36314,1,"36314 = ""36314: METASTAT DISSEM RETINIT"""
36311,1,"36311 = ""36311: DISSEM CHOROIDITIS- POST"""
80173,1,"80173 = ""80173: OPN SKL BASE FX-MOD COMA"""
42499,1,"42499 = ""42499: ENDOCARDITIS NEC"""
794,1,"0794  = ""0794 : HUMAN PAPILLOMA VIRUS (Begin 1993)"""
6221,1,"6221  = ""6221 : DYSPLASIA OF CERVIX (End 2004)"""
6227,1,"6227  = ""6227 : MUCOUS POLYP OF CERVIX"""
62130,1,"62130 = ""62130: ENDOMETRIAL HYPERPLA NOS (Begin 2004)"""
5600,1,"05600 = ""05600: RUBELLA NERVE COMPL NOS"""
V1351,1,#N/A
E9018,1,#N/A
E9019,1,#N/A
73670,1,"73670 = ""73670: ACQ ANKLE-FOOT DEF NOS"""
73671,1,"73671 = ""73671: ACQ EQUINOVARUS"""
37002,1,"37002 = ""37002: RING CORNEAL ULCER"""
37001,1,"37001 = ""37001: MARGINAL CORNEAL ULCER"""
37552,1,"37552 = ""37552: LACRIML PUNCTUM STENOSIS"""
43841,1,"43841 = ""43841: LATE EFF CVD MONOPLEG LEG DOM (Begin 1997)"""
86399,1,#N/A
E8839,1,#N/A
86,1,"0086  = ""0086 : VIRAL ENTERITIS NEC (Begin 1980"
68101,1,"68101 = ""68101: FELON"""
94103,1,#N/A
94105,1,#N/A
9517,1,#N/A
9516,1,#N/A
57421,1,"57421 = ""57421: CHOLELITHIAS NOS W OBSTR"""
9518,1,#N/A
81519,1,#N/A
30422,1,"30422 = ""30422: COCAINE DEPEND-EPISODIC"""
20285,1,"20285 = ""20285: LYMPHOMAS NEC INGUIN"""
5186,1,"5186  = ""5186 : ALLERG BRONCHO ASPERGILL (Begin 1997)"""
72882,1,"72882 = ""72882: FB GRANULOMA OF MUSCLE"""
72883,1,"72883 = ""72883: NONTRAUM MUSCLE RUPTURE"""
99700,1,#N/A
29282,1,"29282 = ""29282: DRUG-INDUCED DEMENTIA"""
29285,1,"29285 = ""29285: DRUG INDUCED SLEEP DISOR (Begin 2005)"""
34501,1,"34501 = ""34501: GEN NONCONV EP W INTR EP (Begin 1989)"""
903,1,"0903  = ""0903 : SYPHILITIC KERATITIS"""
E8550,1,#N/A
73021,1,"73021 = ""73021: OSTEOMYELITIS NOS-SHLDER"""
73024,1,"73024 = ""73024: OSTEOMYELITIS NOS-HAND"""
5811,1,"05811 = ""05811: ROSEOLA INFANT D/T HHV-6 (Begin 2007)"""
5813,1,"5813  = ""5813 : MINIMAL CHANGE NEPHROSIS"""
E9202,1,#N/A
81390,1,#N/A
E9800,1,#N/A
80155,1,"80155 = ""80155: OP SKL BASE FX-DEEP COMA"""
80154,1,"80154 = ""80154: OP SKL BASE FX-PROL COMA"""
80621,1,#N/A
2712,1,"2712  = ""2712 : HERED FRUCTOSE INTOLERAN"""
99552,1,#N/A
9161,1,"09161 = ""09161: SYPHILITIC PERIOSTITIS"""
9701,1,#N/A
8872,1,#N/A
24110,1,#N/A
30250,1,"30250 = ""30250: TRANS-SEXUALISM NOS"""
86415,1,#N/A
86410,1,#N/A
71978,1,"71978 = ""71978: DIFFICULT WALK NEC (End 2003)"""
71976,1,"71976 = ""71976: DIFFICULT WALK-LO/LEG (End 2003)"""
1713,1,"01713 = ""01713: ERYTHEM NOD TB-MICRO DX"""
1712,1,"01712 = ""01712: ERYTHEM NOD TB-EXAM UNKN"""
1717,1,"1717  = ""1717 : MAL NEOPL TRUNK NOS"""
1716,1,"01716 = ""01716: ERYTHEM NOD TB-OTH TEST"""
6253,1,"6253  = ""6253 : DYSMENORRHEA"""
3014,1,"3014  = ""3014 : COMPULSIVE PERSONALITY"""
59960,1,"59960 = ""59960: URINARY OBSTRUCTION NOS (Begin 2005)"""
V4971,1,#N/A
7767,1,"7767  = ""7767 : NEONATAL NEUTROPENIA"""
9954,1,"09954 = ""09954: CHLAMYDIA-OTHER GU (Begin 1992)"""
32730,1,"32730 = ""32730: CIRCADIAN RHYM SLEEP NOS (Begin 2005)"""
75315,1,"75315 = ""75315: RENAL DYSPLASIA (Begin 1990)"""
33390,1,"33390 = ""33390: EXTRAPYRAMIDAL DIS NOS"""
90451,1,#N/A
5060,1,"5060  = ""5060 : FUM/VAPOR BRONC/PNEUMON"""
94124,1,#N/A
94122,1,#N/A
94121,1,#N/A
V3401,1,#N/A
64201,1,"64201 = ""64201: ESSEN HYPERTEN-DELIVERED"""
80450,1,#N/A
80451,1,#N/A
V4362,1,#N/A
9390,1,#N/A
99760,1,#N/A
78343,1,"78343 = ""78343: SHORT STATURE (Begin 2000)"""
71965,1,"71965 = ""71965: JOINT SYMPTOM NEC-PELVIS"""
71962,1,"71962 = ""71962: JOINT SYMPTOM NEC-UP/ARM"""
7484,1,"7484  = ""7484 : CONGENITAL CYSTIC LUNG"""
2892,1,"2892  = ""2892 : MESENTERIC LYMPHADENITIS"""
1891,1,"01891 = ""01891: MILIARY TB NOS-NO EXAM"""
73005,1,"73005 = ""73005: AC OSTEOMYELITIS-PELVIS"""
73002,1,"73002 = ""73002: AC OSTEOMYELITIS-UP/ARM"""
73009,1,"73009 = ""73009: AC OSTEOMYELITIS-MULT"""
V4560,1,#N/A
E9195,1,#N/A
E9197,1,#N/A
79989,1,"79989 = ""79989: OTHER ILL-DEFINED CONDITIONS (Begin 2003)"""
74783,1,"74783 = ""74783: PERSISTENT FETAL CIRCULATION (Begin 2002)"""
74782,1,"74782 = ""74782: SPINAL VESSEL ANOMALY (Begin 1993)"""
80609,1,#N/A
80608,1,#N/A
80605,1,#N/A
2775,1,"2775  = ""2775 : MUCOPOLYSACCHARIDOSIS"""
9490,1,#N/A
9146,1,#N/A
6264,1,"6264  = ""6264 : IRREGULAR MENSTRUATION"""
E8794,1,#N/A
42981,1,"42981 = ""42981: PAPILLARY MUSCLE DIS NEC"""
63512,1,"63512 = ""63512: LEGAL ABOR W HEMORR-COMP"""
V074,1,#N/A
V072,1,#N/A
V079,1,#N/A
3071,1,"3071  = ""3071 : ANOREXIA NERVOSA"""
94430,1,#N/A
5643,1,"5643  = ""5643 : VOMITING POST-GI SURGERY"""
30921,1,"30921 = ""30921: SEPARATION ANXIETY"""
56401,1,"56401 = ""56401: SLOW TRANSIT CONSTIPATION (Begin 2001)"""
3679,1,"3679  = ""3679 : REFRACTION DISORDER NOS"""
1106,1,"01106 = ""01106: TB LUNG INFILTR-OTH TEST"""
2540,1,"2540  = ""2540 : PERSIST HYPERPLAS THYMUS"""
V664,1,#N/A
4422,1,"4422  = ""4422 : ILIAC ARTERY ANEURYSM"""
4423,1,"4423  = ""4423 : LOWER EXTREMITY ANEURYSM"""
75011,1,"75011 = ""75011: AGLOSSIA"""
9551,1,#N/A
9554,1,#N/A
9556,1,#N/A
83401,1,#N/A
80470,1,#N/A
85111,1,#N/A
80336,1,"80336 = ""80336: CL SKULL FX NEC-COMA NOS"""
99740,1,#N/A
8930,1,#N/A
71234,1,"71234 = ""71234: CHONDROCALCIN NOS-HAND"""
71235,1,"71235 = ""71235: CHONDROCALCIN NOS-PELVIS"""
V449,1,#N/A
5583,1,"5583  = ""5583 : ALLERGIC GASTROENTERITIS & COLITIS (Begin 2000)"""
19060,1,#N/A
V4509,1,#N/A
7853,1,"7853  = ""7853 : ABNORM HEART SOUNDS NEC"""
52311,1,"52311 = ""52311: CHR GINGIVITIS-NONPLAQUE (Begin 2006)"""
9126,1,#N/A
9128,1,#N/A
7913,1,"7913  = ""7913 : MYOGLOBINURIA"""
7917,1,"7917  = ""7917 : OTH CELLS/CASTS IN URINE"""
6288,1,"6288  = ""6288 : FEMALE INFERTILITY NEC"""
6289,1,"6289  = ""6289 : FEMALE INFERTILITY NOS"""
80084,1,"80084 = ""80084: OPN SKL VLT FX-PROLN COM"""
80082,1,"80082 = ""80082: OPN SKUL VLT FX-BRF COMA"""
53260,1,"53260 = ""53260: CHR DUODEN ULC HEM/PERF"""
E8351,1,#N/A
E8354,1,#N/A
3443,1,"3443  = ""3443 : MONOPLEGIA OF LOWER LIMB (End 1994)"""
2751,1,"2751  = ""2751 : DIS COPPER METABOLISM"""
1280,1,"01280 = ""01280: RESP TB NEC-UNSPEC"""
V058,1,#N/A
5442,1,"05442 = ""05442: DENDRITIC KERATITIS"""
5441,1,"05441 = ""05441: HERPES SIMPLEX OF EYELID"""
33811,1,"33811 = ""33811: ACUTE PAIN DUE TO TRAUMA (Begin 2006)"""
13109,1,"13109 = ""13109: UROGENITAL TRICHOMON NEC"""
E9401,1,#N/A
94503,1,#N/A
29502,1,"29502 = ""29502: SIMPLE SCHIZOPHREN-CHR"""
E8218,1,#N/A
1319,1,"1319  = ""1319 : TRICHOMONIASIS NOS"""
36013,1,"36013 = ""36013: PARASITIC ENDOPHTHAL NOS"""
31501,1,"31501 = ""31501: ALEXIA"""
7724,1,"7724  = ""7724 : NB GI HEMORRHAGE"""
7726,1,"7726  = ""7726 : NB CUTANEOUS HEMORRHAGE"""
69279,1,"69279 = ""69279: SOLAR DERMATITIS NEC"""
86330,1,#N/A
2568,1,"2568  = ""2568 : OVARIAN DYSFUNCTION NEC"""
2563,1,"2563  = ""2563 : OVARIAN FAILURE NEC (End 2001)"""
309,1,"0309  = ""0309 : LEPROSY NOS"""
38840,1,"38840 = ""38840: ABN AUDITORY PERCEPT NOS"""
87269,1,#N/A
V601,1,#N/A
V608,1,#N/A
80414,1,#N/A
71216,1,"71216 = ""71216: DICALC PHOS CRYST-L/LEG"""
90441,1,#N/A
E9386,1,#N/A
76075,1,"76075 = ""76075: COCAINE AFFECTS FETUS (Begin 1991)"""
76079,1,"76079 = ""76079: NOXIOUS SUBST NEC AFF NB"""
1411,1,"1411  = ""1411 : MAL NEO DORSAL TONGUE"""
1413,1,"1413  = ""1413 : MAL NEO VENTRAL TONGUE"""
979,1,"0979  = ""0979 : SYPHILIS NOS"""
4200,1,"4200  = ""4200 : AC PERICARDIT IN OTH DIS"""
5561,1,"5561  = ""5561 : ULCERATIVE ILEOCOLITIS (Begin 1994)"""
5563,1,"5563  = ""5563 : ULCERATIVE PROCTOSIGMOIDITIS (Begin 1994)"""
6198,1,"6198  = ""6198 : FEM GENITAL FISTULA NEC"""
76529,1,"76529 = ""76529: 37 OR MORE COMPLETED WEEKS OF GEST (Begin 2002)"""
27240,1,#N/A
65921,1,"65921 = ""65921: PYREXIA IN LABOR-DELIVER"""
88111,1,#N/A
6119,1,"6119  = ""6119 : BREAST DISORDER NOS"""
52330,1,"52330 = ""52330: AGGRES PERIODONTITIS NOS (Begin 2006)"""
52331,1,"52331 = ""52331: AGGRES PERIODONTITIS"""
7933,1,"7933  = ""7933 : ABN FIND-BILIARY TRACT"""
7286,1,"7286  = ""7286 : CONTRACTED PALMAR FASCIA"""
9109,1,#N/A
9101,1,#N/A
86812,1,#N/A
20810,1,"20810 = ""20810: CHR LEUK UNS CL W/O RMSN (Begin 1991)"""
37445,1,"37445 = ""37445: SENSORMOTR DISOR LID NEC"""
4419,1,"4419  = ""4419 : AORTIC ANEURYSM NOS"""
71916,1,"71916 = ""71916: HEMARTHROSIS-L/LEG"""
V037,1,#N/A
37914,1,"37914 = ""37914: LOCAL ANTERIOR STAPHYLMA"""
E9468,1,#N/A
45939,1,"45939 = ""45939: CHRO VENOUS HYPRTENSION W OTR COMPLI (Begin 2002)"""
34939,1,"34939 = ""34939: DURAL TEAR NEC (Begin 2008)"""
66381,1,"66381 = ""66381: CORD COMPLICAT NEC-DELIV"""
29524,1,"29524 = ""29524: CATATONIA-CHREXACERB"""
82129,1,#N/A
82122,1,#N/A
8691,1,#N/A
7706,1,"7706  = ""7706 : NB TRANSITORY TACHYPNEA"""
92130,1,#N/A
5794,1,"5794  = ""5794 : PANCREATIC STEATORRHEA"""
7510,1,"7510  = ""7510 : MECKEL-s DIVERTICULUM"""
36270,1,"36270 = ""36270: HERED RETIN DYSTRPHY NOS"""
20172,1,"20172 = ""20172: HODG LYMPH DEPLET THORAX"""
V4382,1,#N/A
80435,1,#N/A
V622,1,#N/A
V623,1,#N/A
37059,1,"37059 = ""37059: INTERSTIT KERATITIS NEC"""
V481,1,#N/A
V487,1,#N/A
7131,1,"7131  = ""7131 : ARTHROP W NONINF GI DIS"""
1120,1,"01120 = ""01120: TB LUNG W CAVITY-UNSPEC"""
587,1,"587   = ""587  : RENAL SCLEROSIS NOS"""
38163,1,"38163 = ""38163: EXTRINSIC EUSTACH OBSTR"""
7947,1,"7947  = ""7947 : ABN BASAL METABOL STUDY"""
3821,1,"3821  = ""3821 : CHR TUBOTYMPAN SUPPUR OM"""
34581,1,"34581 = ""34581: EPILEPSY NEC W INTR EPIL (Begin 1989)"""
5890,1,"5890  = ""5890 : UNILATERAL SMALL KIDNEY"""
72409,1,"72409 = ""72409: SPINAL STENOSIS-OTH SITE"""
490,1,"0490  = ""0490 : LYMPHOCYTIC CHORIOMENING"""
859,1,"0859  = ""0859 : LEISHMANIASIS NOS"""
9898,1,#N/A
9899,1,#N/A
64890,1,"64890 = ""64890: OTH CURR COND PREG-UNSP"""
64892,1,"64892 = ""64892: OTH CURR COND-DEL W P/P"""
64894,1,"64894 = ""64894: OTH CURR COND-POSTPARTUM"""
9470,1,#N/A
9471,1,#N/A
2248,1,"2248  = ""2248 : BENIGN NEOPLASM EYE NEC"""
2244,1,"2244  = ""2244 : BENIGN NEOPLASM CORNEA"""
81313,1,#N/A
4878,1,"4878  = ""4878 : FLU W MANIFESTATION NEC"""
2792,1,"2792  = ""2792 : COMBINED IMMUNITY DEFIC"""
E9441,1,#N/A
87010,1,#N/A
78040,1,#N/A
72619,1,"72619 = ""72619: ROTATOR CUFF DIS NEC"""
72611,1,"72611 = ""72611: CALCIF TENDINITIS SHLDER"""
6952,1,"6952  = ""6952 : ERYTHEMA NODOSUM"""
8360,1,#N/A
3214,1,"3214  = ""3214 : MENINGIT D/T SARCOIDOSIS"""
3980,1,"3980  = ""3980 : RHEUMATIC MYOCARDITIS"""
V1086,1,#N/A
80233,1,"80233 = ""80233: FX CORON PROC MANDIB-OPN"""
85311,1,#N/A
9489,1,"09489 = ""09489: NEUROSYPHILIS NEC"""
9484,1,"09484 = ""09484: SYPHILITIC OPTIC ATROPHY"""
7874,1,"7874  = ""7874 : VISIBLE PERISTALSIS"""
81353,1,#N/A
81351,1,#N/A
37031,1,"37031 = ""37031: PHLYCTEN KERATOCONJUNCT"""
9150,1,"09150 = ""09150: SYPHILITIC UVEITIS NOS"""
9151,1,"09151 = ""09151: SYPHILIT CHORIORETINITIS"""
9152,1,"09152 = ""09152: SYPHILITIC IRIDOCYCLITIS"""
1981,1,"1981  = ""1981 : SEC MALIG NEO URIN NEC"""
1639,1,"1639  = ""1639 : MALIG NEOPL PLEURA NOS"""
2814,1,"2814  = ""2814 : PROTEIN DEFIC ANEMIA"""
2818,1,"2818  = ""2818 : NUTRITIONAL ANEMIA NEC"""
E8642,1,#N/A
3373,1,"3373  = ""3373 : AUTONOMIC DYSREFLEXIA (Begin 1998)"""
34210,1,"34210 = ""34210: SPASTIC HEMIPLEG- UNSPEC SIDE (Begin 1994)"""
78700,1,#N/A
91300,1,#N/A
72283,1,"72283 = ""72283: POSTLAMINECT SYND-LUMBAR"""
73734,1,"73734 = ""73734: THORACOGENIC SCOLIOSIS"""
80485,1,#N/A
7515,1,"7515  = ""7515 : INTESTINAL ANOMALY NEC"""
7512,1,"7512  = ""7512 : ATRESIA LARGE INTESTINE"""
73088,1,"73088 = ""73088: BONE INFECT NEC-OTH SITE"""
73087,1,"73087 = ""73087: BONE INFECT NEC-ANKLE"""
92301,1,#N/A
6159,1,"6159  = ""6159 : UTERINE INFLAM DIS NOS"""
1734,1,"01734 = ""01734: TB OF EYE-CULT DX"""
1736,1,"01736 = ""01736: TB OF EYE-OTH TEST"""
52489,1,"52489 = ""52489: DENTOFACIAL ANOMALY NEC (Begin 2004)"""
2040,1,"2040  = ""2040 : ACUTE LYMPHOID LEUKEMIA (Begin 1980"
90229,1,#N/A
V568,1,#N/A
33189,1,"33189 = ""33189: CEREB DEGENERATION NEC"""
63592,1,"63592 = ""63592: LEGAL ABORT UNCOMPL-COMP"""
36024,1,"36024 = ""36024: OTHER METALLOSIS- EYE"""
83904,1,#N/A
83902,1,#N/A
29564,1,"29564 = ""29564: RESID SCHIZO-CHREXACERB"""
37952,1,"37952 = ""37952: LATENT NYSTAGMUS"""
30746,1,"30746 = ""30746: SOMNAMBULISMNGHT TERROR"""
30743,1,"30743 = ""30743: TRANSIENT HYPERSOMNIA"""
